2021-01-01 00:00:00 Launching analysis for 1316889949 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2020-12-30 00:00:00 Algorithm warming up...
2020-12-30 00:00:00 ROC = -0.010584084836689173
2020-12-31 00:00:00 ROC = -0.011290751400661079
2021-01-01 00:00:00 ROC = 0.008487262123677392
2021-01-01 00:00:00 Algorithm finished warming up.
2021-01-01 00:00:00 ROC = 0.008487262123677392
2021-01-05 00:00:00 ROC = -0.05557363986191235
2021-01-06 00:00:00 ROC = 0.034420756771464625
2021-01-07 00:00:00 ROC = 0.0055326808427027425
2021-01-08 00:00:00 ROC = 0.04453440027397332
2021-01-09 00:00:00 ROC = 0.015856074205404424
2021-01-12 00:00:00 ROC = -0.01590824349464034
2021-01-13 00:00:00 ROC = -0.005710483823940444
2021-01-14 00:00:00 ROC = 0.01668777142188633
2021-01-15 00:00:00 ROC = -0.02000003619335411
2021-01-16 00:00:00 ROC = -0.02227004279458829
2021-01-20 00:00:00 ROC = 0.019895291656471917
2021-01-21 00:00:00 ROC = 0.03260132377611519
2021-01-22 00:00:00 ROC = 0.011870348542705168
2021-01-23 00:00:00 ROC = 0.0010954384717198216
2021-01-26 00:00:00 ROC = -0.004336975408363648
2021-01-27 00:00:00 ROC = -0.002892432011444247
2021-01-28 00:00:00 ROC = -0.06103101100927804
2021-01-29 00:00:00 ROC = 0.006152924924816419
2021-01-30 00:00:00 ROC = -0.04668071900891982
2021-02-02 00:00:00 ROC = 0.038161406503098176
2021-02-03 00:00:00 ROC = 0.01932125655189278
2021-02-04 00:00:00 ROC = -0.03155969180858015
2021-02-05 00:00:00 ROC = 0.021266151994075402
2021-02-06 00:00:00 ROC = 0.0009506283879912944
2021-02-09 00:00:00 ROC = 0.003739730079495429
2021-02-10 00:00:00 ROC = 0.007794836358879274
2021-02-11 00:00:00 ROC = -0.020500052882547214
2021-02-12 00:00:00 ROC = 0.0010169469048893491
2021-02-13 00:00:00 ROC = 0.0235173706658804
2021-02-17 00:00:00 ROC = -0.015951664182323286
2021-02-18 00:00:00 ROC = 0.01355544353296696
2021-02-19 00:00:00 ROC = 0.020757291108844594
2021-02-20 00:00:00 ROC = -0.026198436555318172
2021-02-23 00:00:00 ROC = -0.03819379284183146
2021-02-24 00:00:00 ROC = 0.044236191028470824
2021-02-25 00:00:00 ROC = 0.052659843142457766
2021-02-26 00:00:00 ROC = -0.08073625809406444
2021-02-27 00:00:00 ROC = -0.012943889554657844
2021-03-02 00:00:00 ROC = 0.0389888535331136
2021-03-03 00:00:00 ROC = -0.053208964452449686
2021-03-04 00:00:00 ROC = -0.07693998245999163
2021-03-05 00:00:00 ROC = -0.045254293158458234
2021-03-06 00:00:00 ROC = 0.01786366757015822
2021-03-09 00:00:00 ROC = -0.08021134009473883
2021-03-10 00:00:00 ROC = 0.038195725466874775
2021-03-11 00:00:00 ROC = -0.04895812953166209
2021-03-12 00:00:00 ROC = 0.019770862756682443
2021-03-13 00:00:00 ROC = 0.015486962286090191
2021-03-16 00:00:00 ROC = 0.028600393934833525
2021-03-17 00:00:00 ROC = -0.00524960234619693
2021-03-18 00:00:00 ROC = 0.04327556344456857
2021-03-19 00:00:00 ROC = -0.04709297167682111
2021-03-20 00:00:00 ROC = 0.014428191870188784
2021-03-23 00:00:00 ROC = 0.031713618680807666
2021-03-24 00:00:00 ROC = -0.02335688706789168
2021-03-25 00:00:00 ROC = -0.06290477503461588
2021-03-26 00:00:00 ROC = 0.012884774934224812
2021-03-27 00:00:00 ROC = 0.04638810491677883
2021-03-30 00:00:00 ROC = 0.004079789427322769
2021-03-31 00:00:00 ROC = 0.0044853295380855
2021-04-01 00:00:00 ROC = 0.027818461484789204
2021-04-02 00:00:00 ROC = 0.01331363212549037
2021-04-06 00:00:00 ROC = 0.035128852558784555
2021-04-07 00:00:00 ROC = 0.0005919253969268944
2021-04-08 00:00:00 ROC = 0.011283771190960402
2021-04-09 00:00:00 ROC = 0.004193694711066445
2021-04-10 00:00:00 ROC = 0.03124399254839462
2021-04-13 00:00:00 ROC = 0.005173992535970112
2021-04-14 00:00:00 ROC = 0.01965311807336502
2021-04-15 00:00:00 ROC = -0.037548547953178794
2021-04-16 00:00:00 ROC = 0.018012192939897857
2021-04-17 00:00:00 ROC = -0.0008936297046110877
2021-04-20 00:00:00 ROC = -0.012619149980872588
2021-04-21 00:00:00 ROC = -0.015455860723482255
2021-04-22 00:00:00 ROC = 0.038761901855468614
2021-04-23 00:00:00 ROC = -0.03285175075897261
2021-04-24 00:00:00 ROC = 0.03159285186648804
2021-04-27 00:00:00 ROC = 0.017473275132821802
2021-04-28 00:00:00 ROC = -0.015340441964175758
2021-04-29 00:00:00 ROC = -0.006947638179640734
2021-04-30 00:00:00 ROC = -0.01913105111721564
2021-05-01 00:00:00 ROC = 0.003448622829944022
2021-05-04 00:00:00 ROC = -0.026296437607358787
2021-05-05 00:00:00 ROC = -0.030256136739994183
2021-05-06 00:00:00 ROC = -0.028322220342207223
2021-05-07 00:00:00 ROC = 0.0247799826052589
2021-05-08 00:00:00 ROC = -0.0016350694137680418
2021-05-11 00:00:00 ROC = -0.06332323152544263
2021-05-12 00:00:00 ROC = 0.05442102334111437
2021-05-13 00:00:00 ROC = -0.030432836137413932
2021-05-14 00:00:00 ROC = -0.005408365033356487
2021-05-15 00:00:00 ROC = 0.03326877754802567
2021-05-18 00:00:00 ROC = -0.0016929812558735208
2021-05-19 00:00:00 ROC = -0.02982876131918543
2021-05-20 00:00:00 ROC = 0.05772957753001088
2021-05-21 00:00:00 ROC = 0.04252152666074775
2021-05-22 00:00:00 ROC = -0.03104283643625308
