2021-01-01 00:00:00 Launching analysis for 1888380397 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2021-06-12 00:00:00 ROC: 5.4085577758148995
2021-06-15 00:00:00 ROC: 7.500002815967473
2021-06-16 00:00:00 ROC: 9.445367762263281
2021-06-17 00:00:00 ROC: 8.47524453265511
2021-06-18 00:00:00 ROC: 6.756750598222389
2021-06-19 00:00:00 ROC: 14.336257355951645
2021-06-22 00:00:00 ROC: 6.164643033056191
2021-06-23 00:00:00 ROC: 7.159201169675755
2021-06-24 00:00:00 ROC: 10.02666801112168
2021-06-25 00:00:00 ROC: 10.091307468084514
2021-06-26 00:00:00 ROC: 8.785526568331301
2021-06-29 00:00:00 ROC: 7.590185701220985
2021-06-30 00:00:00 ROC: 8.363020566205966
2021-07-01 00:00:00 ROC: 11.651546572470219
2021-07-02 00:00:00 ROC: 12.364707184010832
2021-07-03 00:00:00 ROC: 8.373862876791245
2021-07-07 00:00:00 ROC: 14.793008353423465
2021-07-08 00:00:00 ROC: 14.242499764487036
2021-07-09 00:00:00 ROC: 11.847686784806141
2021-07-10 00:00:00 ROC: 9.719222462203023
2021-07-13 00:00:00 ROC: 9.56056744626334
2021-07-14 00:00:00 ROC: 11.284147642902909
2021-07-15 00:00:00 ROC: 7.421713581978009
2021-07-16 00:00:00 ROC: 6.802667981389557
2021-07-17 00:00:00 ROC: 5.053063217474449
2021-07-20 00:00:00 ROC: 2.423303916339501
2021-07-21 00:00:00 ROC: -3.314397519868879
2021-07-22 00:00:00 ROC: -1.4483730235725774
2021-07-23 00:00:00 ROC: 0.16248177511049955
2021-07-24 00:00:00 ROC: 4.07086469995685
2021-07-27 00:00:00 ROC: 5.737517624699716
2021-07-28 00:00:00 ROC: 4.863501110774805
2021-07-29 00:00:00 ROC: 1.4919640350216747
2021-07-30 00:00:00 ROC: 2.0470301852535693
2021-07-31 00:00:00 ROC: 4.716754953978283
2021-08-03 00:00:00 ROC: 5.743652341257188
2021-08-04 00:00:00 ROC: 8.308848011833422
2021-08-05 00:00:00 ROC: 6.676672812300019
2021-08-06 00:00:00 ROC: 4.812665797149405
2021-08-07 00:00:00 ROC: 4.585002377655827
2021-08-10 00:00:00 ROC: -0.09519982801465621
2021-08-11 00:00:00 ROC: 0.021876160015188613
2021-08-12 00:00:00 ROC: 1.8545094813852059
2021-08-13 00:00:00 ROC: 0.20879848363367037
2021-08-14 00:00:00 ROC: 0.7569043588889862
2021-08-17 00:00:00 ROC: 3.3147459050775736
2021-08-18 00:00:00 ROC: 3.5267581327794395
2021-08-19 00:00:00 ROC: -0.9184432892575336
2021-08-20 00:00:00 ROC: -4.274755384773908
2021-08-21 00:00:00 ROC: -4.702307893296876
2021-08-24 00:00:00 ROC: -0.46176768881058117
2021-08-25 00:00:00 ROC: 3.419365934809915
2021-08-26 00:00:00 ROC: 6.024720119070701
2021-08-27 00:00:00 ROC: 6.719748810227915
