2021-01-01 00:00:00 Launching analysis for 1446856053 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2021-06-15 00:00:00 ROC = 2.4078797923613116
2021-06-16 00:00:00 ROC = -1.6247096494952942
2021-06-17 00:00:00 ROC = -1.4463985389523366
2021-06-18 00:00:00 ROC = 4.751757407300517
2021-06-19 00:00:00 ROC = -0.9155410097234495
2021-06-22 00:00:00 ROC = 1.6089726592092197
2021-06-23 00:00:00 ROC = 2.884877182437505
2021-06-24 00:00:00 ROC = 0.1557500265216811
2021-06-25 00:00:00 ROC = 0.11890554797731555
2021-06-26 00:00:00 ROC = -0.8270704238394248
2021-06-29 00:00:00 ROC = 2.441695384225718
2021-06-30 00:00:00 ROC = 1.217508544470157
2021-07-01 00:00:00 ROC = -0.31735649083357903
2021-07-02 00:00:00 ROC = 0.3931812912349613
2021-07-03 00:00:00 ROC = 1.668807638992615
2021-07-07 00:00:00 ROC = 0.7610837535735032
2021-07-08 00:00:00 ROC = -1.2681348210246022
2021-07-09 00:00:00 ROC = 2.6760429244568917
2021-07-10 00:00:00 ROC = 2.2727234280415005
2021-07-13 00:00:00 ROC = -0.022934846022096483
2021-07-14 00:00:00 ROC = 0.2454303217103076
2021-07-15 00:00:00 ROC = -1.4622052634355087
2021-07-16 00:00:00 ROC = -2.069858568528061
2021-07-17 00:00:00 ROC = -3.1852574164468517
2021-07-20 00:00:00 ROC = 0.5828742292939224
2021-07-21 00:00:00 ROC = 2.527539740343569
2021-07-22 00:00:00 ROC = 2.4859468374162303
2021-07-23 00:00:00 ROC = 1.7866707403772621
2021-07-24 00:00:00 ROC = 2.1391179324101106
2021-07-27 00:00:00 ROC = 0.8160568853739744
2021-07-28 00:00:00 ROC = -3.0548913824699717
2021-07-29 00:00:00 ROC = 0.1792959002462799
2021-07-30 00:00:00 ROC = 0.9589442764964855
2021-07-31 00:00:00 ROC = 1.8335245705707333
2021-08-03 00:00:00 ROC = -1.3676203580428419
2021-08-04 00:00:00 ROC = 1.1765527853007858
2021-08-05 00:00:00 ROC = 0.4367431740947586
2021-08-06 00:00:00 ROC = 1.2229043635041459
2021-08-07 00:00:00 ROC = -0.26317759194459633
2021-08-10 00:00:00 ROC = 0.18260170426771297
2021-08-11 00:00:00 ROC = -1.93075675373345
2021-08-12 00:00:00 ROC = -1.5531099759616216
2021-08-13 00:00:00 ROC = 1.4722376927331926
2021-08-14 00:00:00 ROC = 0.7049542998234772
2021-08-17 00:00:00 ROC = 1.0592926405359402
2021-08-18 00:00:00 ROC = -0.32784622561287013
2021-08-19 00:00:00 ROC = -2.419234465097564
2021-08-20 00:00:00 ROC = 3.1235305546384944
2021-08-21 00:00:00 ROC = 2.1436676712562397
2021-08-24 00:00:00 ROC = 3.5174833008515205
2021-08-25 00:00:00 ROC = 0.4487759532356061
2021-08-26 00:00:00 ROC = -0.05575428809807496
2021-08-27 00:00:00 ROC = -1.1845534892381135
2021-08-28 00:00:00 ROC = 2.4066649751943934
2021-08-31 00:00:00 ROC = 2.6780847000749337
2021-09-01 00:00:00 ROC = -0.4859510861451099
2021-09-02 00:00:00 ROC = -0.34476182864696436
2021-09-03 00:00:00 ROC = -1.217499757737239
2021-09-04 00:00:00 ROC = 1.849361167745813
2021-09-08 00:00:00 ROC = 0.3431238944174755
2021-09-09 00:00:00 ROC = -0.8563355988831057
2021-09-10 00:00:00 ROC = -1.2140926709521913
2021-09-11 00:00:00 ROC = -3.6092695021471446
2021-09-14 00:00:00 ROC = -2.0702624616793273
2021-09-15 00:00:00 ROC = -2.0278977811674084
2021-09-16 00:00:00 ROC = 1.8478774084285843
2021-09-17 00:00:00 ROC = 1.3053891148382417
2021-09-18 00:00:00 ROC = -3.172218241618266
2021-09-21 00:00:00 ROC = -1.4251902982404434
2021-09-22 00:00:00 ROC = -1.270498713744212
2021-09-23 00:00:00 ROC = 2.0094962936394953
2021-09-24 00:00:00 ROC = 1.7853255072769654
2021-09-25 00:00:00 ROC = 2.2130853794798138
2021-09-28 00:00:00 ROC = 0.11575746729514766
2021-09-29 00:00:00 ROC = -4.7393702775427595
2021-09-30 00:00:00 ROC = -1.539544572364762
2021-10-01 00:00:00 ROC = -2.5121295313337337
2021-10-02 00:00:00 ROC = 1.2694581540044683
2021-10-05 00:00:00 ROC = -4.844122807761179
2021-10-06 00:00:00 ROC = 3.042428514411757
2021-10-07 00:00:00 ROC = 4.822879859750194
2021-10-08 00:00:00 ROC = 0.11598661304461035
2021-10-09 00:00:00 ROC = -2.441260317373857
2021-10-12 00:00:00 ROC = -0.9613849345343795
2021-10-13 00:00:00 ROC = -2.2113029690238335
2021-10-14 00:00:00 ROC = 0.3895673942797455
2021-10-15 00:00:00 ROC = 2.4056604935281127
2021-10-16 00:00:00 ROC = 0.824666092138163
2021-10-19 00:00:00 ROC = 4.119179723870979
2021-10-20 00:00:00 ROC = 1.2833330286046931
2021-10-21 00:00:00 ROC = -0.759642870549288
2021-10-22 00:00:00 ROC = 2.4816137204819877
2021-10-23 00:00:00 ROC = -1.5264532116630356
